Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,D8S1179,D21S11,D18S51,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338
2.2,,,,,,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,,,
5,,,,,1,,,,,,1,,,,,,,,,,
6,,,,,1,,,,,,170,,,,,,,,,,
6.3,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,140,,,2,,20,,,,,
8,,,13,4,379,10,,,,,69,,,4,87,104,,,,,
8.1,,,,,,,,,,,,,,,,1,,,,,
9,,,77,10,92,4,,,1,,86,,,30,56,121,,,,,
9.1,,,,,,,,,1,,,,,,,,,,,,
9.3,,,,,,,,,,,249,,,,,,,,,,
10,,,41,159,36,74,,6,152,1,6,,,40,34,185,,,2,,
10.1,,,,,,,,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,,,,
10.3,,,,,,,,,,,,,,,,,,,,,
11,1,,227,223,182,55,,7,248,4,1,,101,257,235,148,1,1,56,,
11.2,,,,,,,,,,,,,,,,,,,,,
11.3,,,,,,,,,44,,,,,,,,,,,,
12,,1,227,260,30,121,,82,34,51,,,9,280,194,115,5,23,84,,
12.2,,,,,,,,,,1,,,,,,,,,,,
12.3,,,,,,,,,3,,,,,,,,,,,,
13,1,1,118,59,1,238,,89,21,184,,,5,103,84,25,12,222,48,,
13.2,,,,,,,,,,5,,,,,,,,,,,
13.3,,,,,,,,,,,,,,,,,,,,,
13.4,,,,,,,,,,,,,,,,,,,,,
14,77,67,19,7,,120,,97,174,261,,,41,5,31,3,18,215,57,,
14.2,,,,,,,,1,,17,,,,,,,2,,,,
14.3,,,,,,,,,,,,,,,,,,,2,,
15,197,76,,,,75,,123,43,113,,,232,1,1,,29,142,108,23,1
15.2,,,,,,,,,,26,,,,,,,,,,,
15.3,,,,,,,,,,,,,,,,,,,42,,
15.4,,,,,,,,,,,,,,,,,,,,,
16,172,145,,,,24,,106,1,41,,,276,,,,29,96,98,16,27
16.2,,,,,,,,1,,11,,,,,,,1,,,,
16.3,,,,,,,,,,,,,,,,,,,44,,
17,152,205,,,,1,,100,,5,,,54,,,,45,20,34,92,134
17.1,,,,,,,,,,,,,,,,,,,,,
17.2,,,,,,,,,,1,,,,,,,,,,,
17.3,,,,,,,,,,,,,,,,,1,,96,15,
18,109,146,,,,,,56,,,,18,4,,,,52,1,4,124,53
18.1,,,,,,,,,,,,,,,,,,,,,
18.2,,,,,,,,,,1,,,,,,,,,,,
18.3,,,,,,,,,,,,,,,,,1,,36,18,
19,12,75,,,,,,29,,,,36,,,,,52,2,,90,87
19.1,,,,,,,,,,,,,,,,,,,,,
19.2,,,,,,,,,,,,,,,,,3,,,,
19.3,,,,,,,,,,,,,,,,,,,11,3,
19.4,,,,,,,,,,,,,,,,,,,,,
20,1,5,,,,,,13,,,,89,,,,,42,,,80,113
20.1,,,,,,,,,,,,,,,,,,,,,
20.2,,,,,,,,,,,,,,,,,7,,,,
20.3,,,,,,,,,,,,,,,,,,,,,
21,,1,,,,,,7,,,,129,,,,,18,,,93,27
21.2,,,,,,,,,,,,4,,,,,17,,,,
21.3,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,5,,,,148,,,,,10,,,69,25
22.2,,,,,,,,,,,,9,,,,,27,,,,
22.3,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,110,,,,,2,,,50,76
23.2,,,,,,,,,,,,2,,,,,26,,,,
23.3,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,97,,,,,1,,,34,83
24.2,,,,,,,,,,,,1,,,,,16,,,,
24.3,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,57,,,,,,,,12,74
25.2,,,,,,,1,,,,,,,,,,30,,,,
26,,,,,,,,,,,,19,,,,,,,,2,22
26.2,,,,,,,,,,,,,,,,,30,,,,
27,,,,,,,16,,,,,3,,,,,,,,1,
27.2,,,,,,,,,,,,,,,,,68,,,,
27.3,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,115,,,,,,,,,,,,,,
28.2,,,,,,,,,,,,,,,,,55,,,,
28.3,,,,,,,,,,,,,,,,,1,,,,
29,,,,,,,146,,,,,,,,,,,,,,
29.2,,,,,,,2,,,,,,,,,,40,,,,
29.3,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,204,,,,,,,,,,,,,,
30.2,,,,,,,21,,,,,,,,,,41,,,,
30.3,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,52,,,,,,,,,,2,,,,
31.2,,,,,,,71,,,,,,,,,,17,,,,
32,,,,,,,4,,,,,,,,,,1,,,,
32.2,,,,,,,65,,,,,,,,,,9,,,,
33,,,,,,,1,,,,,,,,,,1,,,,
33.1,,,,,,,,,,,,,,,,,,,,,
33.2,,,,,,,19,,,,,,,,,,3,,,,
34,,,,,,,,,,,,,,,,,6,,,,
34.2,,,,,,,3,,,,,,,,,,1,,,,
35,,,,,,,1,,,,,,,,,,,,,,
36,,,,,,,1,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,
43.2,,,,,,,,,,,,,,,,,,,,,
