Allele,D3S1358,vWA,D16S539,CSF1PO,TPOX,D8S1179,D21S11,D18S51,D2S441,D19S433,TH01,FGA,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338
5,,,,,,,,,,,4,,,,,,,,,,
6,,,,,,,,,,,663,,,,,,,,,,
7,,,1,37,,1,,,,1,811,,,8,6,8,,,,,
8,,,5,3,1357,,,,7,,194,,,18,786,391,,,,,
8.1,,,,,,,,,1,,,,,,,,,,,,
9,,,1077,151,354,8,,,,,1190,,,275,392,135,,,,,
9.1,,,,,,,,,110,,,,,,,1,,,,,
9.2,,,,,,,,,,1,,,,,,,,,,,
9.3,,,,,,,,,,,113,,,,,,,,,,
10,,,602,648,100,387,,6,805,,27,,,616,338,679,,2,,,
10.1,,,,,,,,,7,,,,,,,1,,,,,
10.2,,,,,,,,,,3,,,,,,,,,,,
10.3,,,,,,,,,,,,,,,,2,,,,,
11,,,562,620,1072,319,,14,1034,10,,,595,865,675,974,,8,91,,
11.1,,,,,,,,,1,,,,,,,,,,,,
11.2,,,,,,,,,,2,,,,,,,,,,,
11.3,,,,,,,,,68,,,,,,,,,,,,
12,6,,517,1267,114,370,,140,511,132,,,4,692,608,686,,269,125,1,
12.2,,,,,,,,,,13,,,,,,,,,,,
13,3,1,209,208,3,678,,598,145,874,,,5,497,158,107,5,971,289,,
13.2,,,,,,,,,,89,,,,,,,,,,,
14,79,586,26,52,2,625,,643,298,1038,,,7,28,37,17,12,789,254,2,
14.1,,,,,,,,,,,,,,,,,2,,,,
14.2,,,,,,,,,,250,,,,,,,1,,1,,
15,1192,78,3,14,,410,,493,14,160,,,934,3,2,1,50,676,693,53,
15.2,,,,,,,,,,344,,,,,,,,,,,
15.3,,,,,,,,,,,,,,,,,,,4,,
16,910,538,,2,,182,,399,1,16,,2,747,,,,78,234,770,26,28
16.2,,,,,,,,,,60,,,,,,,2,,,,
16.3,,,,,,,,,,,,,,,,,,,36,,
17,608,866,,,,21,,236,,,,9,641,,,,110,50,289,220,294
17.1,,,,,,,,1,,,,,,,,,,,,,
17.2,,,,,,,,,,8,,,,,,,2,,,,
17.3,,,,,,,,,,,,,,,,,,,235,,
18,194,671,,,,1,,140,,1,,66,58,,,,194,3,47,763,477
18.2,,,,,,,,,,,,,,,,,1,,,,
18.3,,,,,,,,,,,,,,,,,,,155,,
19,8,225,,,,,,110,,,,208,10,,,,266,,,621,641
19.2,,,,,,,,,,,,,,,,,10,,,,
19.3,,,,,,,,,,,,,,,,,,,12,7,
20,1,27,,,,,,69,,,,278,1,,,,226,,,515,325
20.2,,,,,,,,,,,,,,,,,16,,,,
20.3,,,,,,,,,,,,,,,,,,,1,8,
21,1,9,,,,,,51,,,,390,,,,,176,,,332,45
21.2,,,,,,,,,,,,,,,,,37,,,,
21.3,,,,,,,,,,,,,,,,,,,,1,
22,,1,,,,,,44,,,,590,,,,,67,,,156,153
22.2,,,,,,,,,,,,5,,,,,78,,,,
23,,,,,,,,33,,,,595,,,,,27,,,82,421
23.2,,,,,,,,,,,,13,,,,,96,,,,
24,,,,,,,,13,,,,476,,,,,2,,,90,311
24.2,,,,,,,,,,,,3,,,,,193,,,,
25,,,,,,,,5,,,,230,,,,,1,,,81,182
25.2,,,,,,,,,,,,6,,,,,184,,,,
26,,,,,,,,5,,,,93,,,,,,,,25,91
26.2,,,,,,,,,,,,,,,,,212,,,,
27,,,,,,,3,2,,,,29,,,,,2,,,17,28
27.1,,,,,,,,,,,,,,,,,1,,,,
27.2,,,,,,,,,,,,,,,,,263,,,,
27.3,,,,,,,,,,,,,,,,,1,,,,
28,,,,,,,128,,,,,8,,,,,6,,,,6
28.1,,,,,,,,,,,,,,,,,4,,,,
28.2,,,,,,,12,,,,,,,,,,237,,,,
28.3,,,,,,,,,,,,,,,,,6,,,,
29,,,,,,,740,,,,,1,,,,,,,,,
29.2,,,,,,,,,,,,,,,,,197,,,,
29.3,,,,,,,,,,,,,,,,,1,,,,
30,,,,,,,1027,,,,,,,,,,,,,,
30.2,,,,,,,16,,,,,,,,,,133,,,,
30.3,,,,,,,5,,,,,,,,,,1,,,,
31,,,,,,,303,,,,,,,,,,,,,,
31.1,,,,,,,,,,,,,,,,,1,,,,
31.2,,,,,,,202,,,,,,,,,,54,,,,
32,,,,,,,56,,,,,,,,,,,,,,
32.1,,,,,,,,,,,,,,,,,2,,,,
32.2,,,,,,,354,,,,,,,,,,32,,,,
33,,,,,,,7,,,,,,,,,,,,,,
33.1,,,,,,,6,,,,,,,,,,,,,,
33.2,,,,,,,129,,,,,,,,,,12,,,,
34,,,,,,,3,,,,,,,,,,,,,,
34.2,,,,,,,11,,,,,,,,,,1,,,,
